Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Healing Rhythm Chiropractic,Chiropractic,T2,Coty,Troy,Rochester Hills,Michigan,48307,0,0,2025-09-08,311,Unknown
Henry Ford Pain Medicine,Pain Management,T2,Coty,Other/Metro,St. Clair Shores,Michigan,48081,0,0,,,Unknown
HONOR COMMUNITY HEALTH,Pain Management,T2,Coty,Other/Metro,WATERFORD,Michigan,48328,0,0,2024-03-21,847,Unknown
Howell Chiropractic,Chiropractic,T2,Coty,Other/Metro,Howell,Michigan,48843,0,0,2023-12-13,946,Unknown
JUMP START CENTER,Pain Management,T2,Coty,Other/Metro,PONTIAC,Michigan,48342,0,0,2024-03-21,847,Unknown
"KAISER MEDICAL CENTER, PC- dup",Pain Management,T2,Coty,Sterling Heights,WARREN,Michigan,48093,0,0,2024-03-13,855,Unknown
Kal Family Chiropractic - Durand,Chiropractic,T2,Coty,Other/Metro,Durand,Michigan,48429,0,0,2024-01-05,923,Unknown
LMT Rehabilitation Associates - Rochester Hills,PM&R,T2,Coty,Troy,Rochester Hills,Michigan,48307,0,0,2025-10-22,267,Unknown
LMT Rehabilitation Associates - Troy,PM&R,T2,Coty,Troy,Troy,Michigan,48098,0,0,2025-10-16,273,Unknown
Macdonald Family Chiropractic,Chiropractic,T2,Coty,Other/Metro,Flint,Michigan,48507,0,0,2023-12-29,930,Unknown
Martin Quiroga MD Closed,Pain Management,T2,Coty,Sterling Heights,Warren,MI,48088,0,0,2025-02-12,519,Unknown
Mato Family Dentistry,Pain Management,T2,Coty,Other/Metro,Brighton,Michigan,48116,0,0,2024-03-15,853,Unknown
MCLAREN OAKLAND WATERFORD PRIMARY CARE,Pain Management,T2,Coty,Other/Metro,WATERFORD,Michigan,48328,0,0,2025-10-28,261,Unknown
MEDPRO PRIMARY CARE - Huron River,Pain Management,T2,Coty,Other/Metro,New Boston,Michigan,48164,0,0,2025-09-29,290,Unknown
Memorial Healthcare Institute for Neuroscience - Howell,Neurology,T2,Coty,Other/Metro,Howell,Michigan,48843,0,0,2025-08-21,329,Unknown
Mendelson Kornblum Pain Clinic,Pain Management,T2,Coty,Sterling Heights,Warren,Michigan,48088,0,0,2023-03-15,1219,Unknown
Michigan Brain & Spine - Brighton,Pain Management,T2,Coty,Other/Metro,Brighton,Michigan,48114,0,0,2025-05-08,434,Unknown
Michigan Center For Regenerative Medicine,Pain Management,T2,Coty,Troy,Rochester,Michigan,48307,0,0,2025-04-07,465,Unknown
Michigan Head & Spine Institute - Novi,Spine,T2,Coty,Livonia,Novi,Michigan,48375,0,0,2025-03-13,490,Unknown
Michigan Neurology Associates - Clinton Township,Pain Management,T2,Coty,Sterling Heights,Clinton Township,MI,48035,0,0,2025-04-03,469,Unknown
Michigan Pain Specialists,Pain Management,T2,Coty,Other/Metro,Ypsilanti,Michigan,48198,0,0,2023-04-03,1200,Unknown
"MICHIGAN PAIN SPECIALISTS, PLLC",Spine,T2,Coty,Other/Metro,YPSILANTI,Michigan,MI 48198,0,0,2025-09-22,297,Unknown
Michigan Spine Institute,Neurosurgery,T2,Coty,Other/Metro,Waterford Township,Michigan,48327,0,0,2025-10-28,261,Unknown
Mid-Michigan Pain Specialty,Pain Management,T2,Coty,Other/Metro,Flint,Michigan,48507,0,0,2025-04-03,469,Unknown
Millman Neurology,Neurology,T2,Coty,Other/Metro,City of the Village of Clarkston,Michigan,48346,0,0,2025-04-09,463,Unknown
Morreale Neurosurgery,Neurosurgery,T2,Coty,Other/Metro,Shelby Township,Michigan,48315,0,0,2025-04-30,442,Unknown
Multidisciplinary Pain Management,Pain Management,T2,Coty,Other/Metro,Meridian charter Township,Michigan,48864,0,0,2024-01-30,898,Unknown
MY CARE HEALTH CENTER,Pain Management,T2,Coty,Other/Metro,CENTER LINE,Michigan,48015,0,0,2024-03-13,855,Unknown
Neurological Associates (Henry Ford) - Chesterfield,Neurology,T2,Coty,Other/Metro,Chesterfield,Michigan,48047,0,0,2025-10-15,274,Unknown
NOVAMEDICA - Commerce Twp,Pain Management,T2,Coty,Other/Metro,Commerce Township,Michigan,48382,0,0,2024-03-04,864,Unknown
Oakland Neurology,Neurology,T2,Coty,Troy,Rochester Hills,MI,48307,0,0,2025-04-11,461,Unknown
Oakland Physical Medicine,PM&R,T2,Coty,Troy,Rochester,MI,483071877,0,0,2023-06-06,1136,Unknown
Pain Management Center of Michigan,Pain Management,T2,Coty,Other/Metro,Fenton,Michigan,48430,0,0,2023-06-06,1136,Unknown
Physical Medicine and Rehabilitation,PM&R,T2,Coty,Southfield,Oak Park,Michigan,48237,0,0,2025-06-11,400,Unknown
Pointe Chiropractic,Chiropractic,T2,Coty,Other/Metro,St Clair Shores,MI,48080,0,0,2023-07-11,1101,Unknown
Pointe Neurology,Neurology,T2,Coty,Other/Metro,Grosse Pointe Woods,Michigan,48236,0,0,2023-04-06,1197,Unknown
Pure Chiropractic & Weight Loss Center,Chiropractic,T2,Coty,Other/Metro,Howell,Michigan,48843,0,0,2023-12-22,937,Unknown
Renew rehabilitative medicine,Pain Management,T2,Coty,Southfield,Southfield,Michigan,48034,0,0,2025-10-27,262,Unknown
Restorative Physical Medicine - Brighton,Pain Management,T2,Coty,Other/Metro,Brighton,Michigan,48114,0,0,2025-10-17,272,Unknown
Restorative Physical Medicine - Novi,Pain Management,T2,Coty,Livonia,Novi,Michigan,48375,0,0,2025-06-25,386,Unknown
Specialists in Rehabilitation Medicine,PM&R,T2,Coty,Troy,Rochester,Michigan,48307,0,0,2025-07-17,364,Unknown
Spine Clinic - Brighton Center for Specialty Care (UofM),Pain Management,T2,Coty,Other/Metro,Brighton,MI,48116,0,0,2025-04-22,450,Unknown
Sussan Salas MD Neurosurgery,Neurosurgery,T2,Coty,Livonia,Livonia,Michigan,48154,0,0,2025-08-06,344,Unknown
The Digestion Doctor,Chiropractic,T2,Coty,Other/Metro,Shebly Township,MI,48317,0,0,2023-12-06,953,Unknown
Total Health Systems – Center Line,Chiropractic,T2,Coty,Other/Metro,Center Line,MI,48015,0,0,2025-06-20,391,Unknown
TRINITY COMMUNITY CARE,Pain Management,T2,Coty,Sterling Heights,UTICA,Michigan,48317,0,0,2024-12-12,581,Unknown
Trinity Health Pain Clinic  Brighton,Pain Management,T2,Coty,Other/Metro,Brighton,Michigan,48114,0,0,2025-05-07,435,Unknown
Trinity IHA Medical Group Neurology - Ann Arbor,Neurology,T2,Coty,Other/Metro,Ypsilanti,Michigan,48197,0,0,2025-06-04,407,Unknown
Trinity IHA Neurosurgery - Rochester Hills,Neurosurgery,T2,Coty,Troy,Rochester Hills,Michigan,48309,0,0,2025-02-25,506,Unknown
Trinity IHA Primary Care - Clarkston,Pain Management,T2,Coty,Other/Metro,Clarkston,MI,48346,0,0,2025-07-30,351,Unknown
U of M Headache & Neuropathic Pain Clinic,Neurology,T2,Coty,Other/Metro,Ann Arbor,MI,481085744,0,0,2023-08-09,1072,Unknown
U of M Neurosurgery,Neurosurgery,T2,Coty,Other/Metro,Ann Arbor,Mi,48109,0,0,2025-08-27,323,Unknown
U of M Physical Medicine & Rehabilitation Clinic - Burlington Building,PM&R,T2,Coty,Other/Metro,Ann Arbor,Michigan,48108,0,0,2025-08-27,323,Unknown
U of M Urology - Brighton,Pain Management,T2,Coty,Other/Metro,Brighton,Michigan,48116,0,0,2024-08-27,688,Unknown
University of Michigan Pediatric Neurology,Neurology,T2,Coty,Other/Metro,Ann Arbor,Michigan,48109,0,0,2023-07-19,1093,Unknown
WATERFORD TEEN HEALTH CENTER,Pain Management,T2,Coty,Other/Metro,WATERFORD,Michigan,48328,0,0,2024-03-21,847,Unknown
Wellness Physical Medicine Center,PM&R,T2,Coty,Sterling Heights,Clinton Township,Michigan,48038,0,0,2025-02-03,528,Unknown
West Maple Plastic Surgery,Pain Management,T2,Coty,Other/Metro,West Bloomfield Township,Michigan,48322,0,0,2024-03-04,864,Unknown
AS Medical Group,Pain Management,T2,Sean,Other/Metro,Madison Heights,Michigan,48071,0,0,2025-03-07,496,Unknown
Chesterfield Family Chiropractic - Pontiac,Chiropractic,T2,Sean,Other/Metro,Pontiac,MI,48341,0,0,2025-03-18,485,Unknown
Gio Urgent Care,Pain Management,T2,Sean,Other/Metro,Madison Heights,Michigan,48071,0,0,2025-03-07,496,Unknown
HYPERBARIC MEDICAL CENTER,Pain Management,T2,Sean,Sterling Heights,CLINTON TOWNSHIP,MI,48038,0,0,2024-12-18,575,Unknown
Office of Floyd J. Raeon,Chiropractic,T2,Sean,Troy,Rochester Hills,Michigan,48307,0,0,2025-08-22,328,Unknown
Schaefer chiropractic center,Chiropractic,T2,Sean,Sterling Heights,Sterling Heights,Michigan,48310,0,0,2025-06-06,405,Unknown
Alex Meltser DC,Chiropractic,T2,,Other/Metro,St. Clair Shores,Michigan,48082,0,0,2024-02-13,884,Unknown
"ARSHAD PERVEZ, MD, MEDICAL GROUP",Spine,T2,,Other/Metro,LINCOLN PARK,Michigan,MI 48146,0,0,2024-03-06,862,Unknown
ATI PHYSICAL THERAPY,Spine,T2,,Other/Metro,ANN ARBOR,Michigan,MI 48104,0,0,2024-03-22,846,Unknown
ATI PHYSICAL THERAPY,Spine,T2,,Other/Metro,ANN ARBOR,Michigan,MI 48105,0,0,2024-03-22,846,Unknown
ATI PHYSICAL THERAPY,Spine,T2,,Other/Metro,CANTON,Michigan,MI 48187,0,0,2024-02-28,869,Unknown
ATI PHYSICAL THERAPY,Spine,T2,,Other/Metro,CLARKSTON,Michigan,MI 48346,0,0,2024-02-26,871,Unknown
ATI PHYSICAL THERAPY,Spine,T2,,Livonia,FARMINGTON HILLS,Michigan,MI 48335,0,0,2024-03-14,854,Unknown
ATI PHYSICAL THERAPY,Spine,T2,,Other/Metro,MILFORD,Michigan,MI 48381,0,0,2024-03-18,850,Unknown
ATI PHYSICAL THERAPY,Spine,T2,,Other/Metro,WIXOM,Michigan,MI 48393,0,0,2024-03-01,867,Unknown
BEAUMONT PHYSICAL THERAPY CANTON,Spine,T2,,Other/Metro,CANTON,Michigan,MI 48188,0,0,2025-09-26,293,Unknown
"BEAUMONT TROY HOSPITAL CONSULTANTS, PC",Spine,T2,,Troy,TROY,Michigan,MI 48085,0,0,2024-02-29,868,Unknown
BEST MEDICAL CENTER,Spine,T2,,Other/Metro,ALLEN PARK,Michigan,MI 48101,0,0,2024-03-06,862,Unknown
Charles shiemke DC,Chiropractic,T2,,Sterling Heights,Warren,Michigan,48088,0,0,2024-01-31,897,Unknown
Closed - REHABILITATION CENTER OF MILFORD,Spine,T2,,Other/Metro,MILFORD,Michigan,MI 48381,0,0,2024-03-18,850,Unknown
Closed - WILLOWBROOK REHABILITATION SERVICES,Spine,T2,,Other/Metro,BRIGHTON,Michigan,MI 48116,0,0,2024-03-15,853,Unknown
Closed-ATI PHYSICAL THERAPY,Spine,T2,,Other/Metro,PLYMOUTH,Michigan,MI 48170,0,0,2024-03-25,843,Unknown
"Clugston DC, William",Chiropractic,T2,,Livonia,Livonia,MI,48154,0,0,2023-04-21,1182,Unknown
"Cozzetto, Silvio",Chiropractic,T2,,Livonia,Farmington,MI,483353155,0,0,2023-12-05,954,Unknown
David Sinawi DC,Chiropractic,T2,,Southfield,Royal Oak,Michigan,48067,0,0,2024-02-06,891,Unknown
DMC PT Milford Center at YMCA,Spine,T2,,Other/Metro,MILFORD,Michigan,MI 48381,0,0,2024-03-18,850,Unknown
"Elia, Hilal",Chiropractic,T2,,Other/Metro,Highland Park,MI,482031273,0,0,2024-04-17,820,Unknown
FAMILY MEDICAL CLINIC,Spine,T2,,Other/Metro,DETROIT,Michigan,MI 48203,0,0,2024-03-12,856,Unknown
Glenn Ahee,Chiropractic,T2,,Sterling Heights,Warren,Michigan,48088,0,0,2024-01-31,897,Unknown
Great Lakes Physiatrists - St Clair Shores,PM&R,T2,,Other/Metro,St. Clair Shores,Michigan,48081,0,0,2024-02-06,891,Unknown
"Hazimi, Mohammad",Chiropractic,T2,,Livonia,Livonia,MI,481543811,0,0,2023-04-11,1192,Unknown
HOFMANN CHIROPRACTIC CLINIC,Spine,T2,,Other/Metro,ALLEN PARK,Michigan,MI 48101,0,0,2024-03-06,862,Unknown
HUDA CLINIC,Spine,T2,,Other/Metro,DETROIT,Michigan,MI 48238,0,0,2024-03-12,856,Unknown
"Katz, David M",Chiropractic,T2,,Southfield,Southfield,MI,480341541,0,0,2024-02-09,888,Unknown
Kehrer Health Chiropractic,Spine,T2,,Other/Metro,City of the Village of Clarkston,Michigan,48346,0,0,2024-02-26,871,Unknown
Lisa Price DC,Chiropractic,T2,,Other/Metro,St. Clair Shores,Michigan,48082,0,0,2024-02-13,884,Unknown
MALIK AND MALIK MEDICAL GROUP,Spine,T2,,Other/Metro,LINCOLN PARK,Michigan,MI 48146,0,0,2024-03-06,862,Unknown
MCLAREN MACOMB REHABILITATION AND THERAPY SERVICES SHELBY CREEK MEDICAL CENTER,Spine,T2,,Other/Metro,SHELBY TOWNSHIP,Michigan,MI 48316,0,0,2024-03-05,863,Unknown
MCLAREN OAKLAND BAYBROOKE INTERNAL MEDICINE,Spine,T2,,Other/Metro,PONTIAC,Michigan,MI 48342,0,0,2024-04-01,836,Unknown
MCLAREN OAKLAND PHYSICAL THERAPY CLARKSTON,Spine,T2,,Other/Metro,CLARKSTON,Michigan,MI 48346,0,0,2024-02-26,871,Unknown
METRO PAIN CLINIC,Spine,T2,,Southfield,SOUTHFIELD,Michigan,MI 48076,0,0,2024-04-19,818,Unknown
METRO REHABILITATION CLINICS,Spine,T2,,Southfield,OAK PARK,Michigan,MI 48237,0,0,2024-03-05,863,Unknown
Michigan Chiropractic Neurology Center,Spine,T2,,Other/Metro,Wixom,Michigan,48393,0,0,2024-03-01,867,Unknown
MICHIGAN INTEGRATIVE HEALTH,Chiropractic,T2,,Other/Metro,Shelby Township,Michigan,48317,0,0,2024-03-05,863,Unknown
"MICHIGAN PAIN MANAGEMENT CONSULTANTS, PC",Spine,T2,,Southfield,SOUTHFIELD,Michigan,MI 48075,0,0,2024-04-19,818,Unknown
Mike Kozlowski DC,Chiropractic,T2,,Other/Metro,Bloomfield Township,Michigan,48302,0,0,2024-02-02,895,Unknown
"Morabito, Lawrence",Chiropractic,T2,,Livonia,Livonia,MI,48154,0,0,2023-06-16,1126,Unknown
Neuro Pain Consultants - West Bloomfield,Pain Management,T2,,Other/Metro,West Bloomfield Township,Michigan,48322,0,0,2024-01-15,913,Unknown
NOVACARE REHABILITATION,Spine,T2,,Other/Metro,WATERFORD,Michigan,MI 48327,0,0,2024-04-10,827,Unknown
NU LIFE MEDICAL,Spine,T2,,Other/Metro,DEARBORN HEIGHTS,Michigan,MI 48127,0,0,2024-03-07,861,Unknown
O'Dell Family Chiropractic,Chiropractic,T2,,Other/Metro,Lathrup Village,Michigan,48076,0,0,2023-03-22,1212,Unknown
OAKLAND PHYSICAL MEDICINE,Spine,T2,,Other/Metro,ALLEN PARK,Michigan,MI 48101,0,0,2024-03-06,862,Unknown
PAIN AND REHABILITATION PHYSICIAN,Spine,T2,,Other/Metro,LATHRUP VILLAGE,Michigan,MI 48076,0,0,2024-04-19,818,Unknown
PHYSICAL MEDICINE AND REHABILITATION,Spine,T2,,Southfield,OAK PARK,Michigan,MI 48237,0,0,2024-02-29,868,Unknown
PLYMOUTH PHYSICAL THERAPY SPECIALISTS,Spine,T2,,Other/Metro,WIXOM,Michigan,MI 48393,0,0,2024-03-01,867,Unknown
"PRIZM PAIN SPECIALISTS, PLLC",Spine,T2,,Other/Metro,Canton,Michigan,48187,0,0,2025-11-25,233,Unknown
"RAINBOW REHABILITATION CENTERS, INC",Spine,T2,,Other/Metro,YPSILANTI,Michigan,MI 48197,0,0,2024-03-19,849,Unknown
REHABILITATION INSTITUTE OF MICHIGAN CANTON CENTER,Spine,T2,,Other/Metro,CANTON,Michigan,MI 48188,0,0,2024-02-28,869,Unknown
REHABILITATION INSTITUTE OF MICHIGAN MADISON HEIGHTS CENTER,Spine,T2,,Other/Metro,MADISON HEIGHTS,Michigan,MI 48071,0,0,2024-03-11,857,Unknown
"Rohlig, Kathleen M",Chiropractic,T2,,Livonia,Livonia,MI,481545085,0,0,2024-01-17,911,Unknown
"SABAH AL-ATTAR, MD, MEDICAL GROUP",Spine,T2,,Other/Metro,Ypsilanti,Michigan,48197,0,0,2024-03-19,849,Unknown
"Scofield MD, Isabella",Chiropractic,T2,,Other/Metro,Walled Lake,MI,48390,0,0,2023-11-28,961,Unknown
Specialists in Rehabilitation Medicine - Bloomfield Hills,PM&R,T2,,Other/Metro,Bloomfield Hills,Michigan,48302,0,0,2023-10-17,1003,Unknown
STRAITH PAIN CENTER,Spine,T2,,Southfield,SOUTHFIELD,Michigan,MI 48033,0,0,2024-03-05,863,Unknown
"Tezera, Sissay",Chiropractic,T2,,Southfield,Southfield,MI,480752663,0,0,2024-04-19,818,Unknown
Timothy Young DC,Chiropractic,T2,,Sterling Heights,Warren,Michigan,48088,0,0,2024-01-31,897,Unknown
TOTAL HEALTH SYSTEMS,Spine,T2,,Sterling Heights,CLINTON TOWNSHIP,Michigan,MI 48038,0,0,2024-04-29,808,Unknown
TOTAL HEALTH SYSTEMS,Spine,T2,,Other/Metro,WASHINGTON TOWNSHIP,Michigan,MI 48094,0,0,2024-03-05,863,Unknown
MICHIGAN ORTHOPAEDIC INSTITUTE,Spine,T2,Roshelle Brockman,Southfield,Southfield,Michigan,48033,0,0,2024-10-15,639,Unknown
New Grace Spinal,Spine,T2,Roshelle Brockman,Southfield,Oak Park,MI,48237,0,0,2024-06-19,757,Unknown
Northville Chiropractic,Spine,T2,Roshelle Brockman,Other/Metro,Northville,Michigan,48167,0,0,2024-07-25,721,Unknown
Dedicated Senior Medical Center - Eastpointe,Primary Care,T3,Jasmine,Other/Metro,Eastpointe,Michigan,48021,21,144,2026-07-08,8,Unknown
Dedicated senior Medical Center Detroit North,Primary Care,T3,Jasmine,Other/Metro,Detroit,Michigan,48219,17,79,2026-07-08,8,Unknown
Forum Medical Clinic,Primary Care,T3,Coty,Sterling Heights,Warren,MI,48089,15,66,2026-07-13,3,Unknown
Dedicated Senior Medical Center East Jefferson,Primary Care,T3,Jasmine,Other/Metro,Detroit,Michigan,48215,13,47,2026-06-25,21,Unknown
Somerset Family Medicine - Sterling Heights,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,MI,48310,12,20,2026-07-02,14,Unknown
CarePoint Internal Medicine,Primary Care,T3,Coty,Troy,Troy,Michigan,48084,10,79,2026-07-13,3,Unknown
Barclay Internists,Primary Care,T3,Coty,Troy,Rochester,MI,48307,9,37,2026-07-15,1,Unknown
Forum Medical Clinic,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48314,9,36,2026-07-13,3,Unknown
James MacKenzie MD,Primary Care,T3,Coty,Troy,Troy,Michigan,48084,9,9,2026-07-01,15,Unknown
Troy Primary Care,Primary Care,T3,Coty,Troy,Troy,Michigan,48084,9,27,2026-07-01,15,Unknown
AS Medical Group,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48310,8,22,2026-06-26,20,Unknown
Lakeview Medical Center,Primary Care,T3,Coty,Other/Metro,St. Clair Shores,Michigan,48080,8,48,2026-07-09,7,Unknown
Pointe Family Physicians,Primary Care,T3,Coty,Other/Metro,St. Clair Shores,Michigan,48080,8,72,2026-07-09,7,Unknown
Shaun Jayakar MD,Primary Care,T3,Coty,Other/Metro,St Clair Shores,MI,48080,8,24,2026-07-09,7,Unknown
Troy Medical,Urgent Care,T3,Coty,Troy,Troy,MI,48084,8,40,2026-07-01,15,Unknown
Synergy Medical Primary Care,Primary Care,T3,Jasmine,Livonia,Livonia,Michigan,48150,7,24,2026-07-08,8,Unknown
Ahad MD,Primary Care,T3,Coty,Troy,Troy,Michigan,48084,7,6,2026-06-29,17,Unknown
Alliance - Macomb,Primary Care,T3,Coty,Other/Metro,Shelby Township,Michigan,48315,7,70,2026-07-07,9,Unknown
Amabir Khaira MD,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,7,14,2026-07-15,1,Unknown
Farrah Ahmad MD,Primary Care,T3,Coty,Other/Metro,MI 48310,MI,48310,7,7,2026-06-26,20,Unknown
Faye Maribao MD,Primary Care,T3,Coty,Other/Metro,St. Clair Shores,Michigan,48080,7,7,2026-07-09,7,Unknown
Hope Medical Center,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48310,7,7,2026-06-26,20,Unknown
Rochester Family Practice,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,7,63,2026-07-15,1,Unknown
1st choice Urgent Care Livonia,Urgent Care,T3,Jasmine,Livonia,Livonia,Michigan,48150,6,12,2026-06-09,37,Unknown
ASCENSION MEDICAL GROUP WEST BLOOMFIELD FAMILY PRACTICE,Primary Care,T3,Jasmine,Livonia,NOVI,MI,48377,6,18,2026-07-15,1,Unknown
Corewell Health Farmington hills Hospital family medicine,Primary Care,T3,Jasmine,Livonia,LIVONIA,MI,48152,6,24,2026-07-08,8,Unknown
Frank Lanzilote DO-Family Practice,Primary Care,T3,Jasmine,Other/Metro,Detroit,Michigan,48227,6,12,2026-05-21,56,Unknown
Novi Medicine,Primary Care,T3,Jasmine,Livonia,NOVI,MI,48377,6,12,2026-07-15,1,Unknown
WEST OAKLAND INTERNISTS,Primary Care,T3,Jasmine,Livonia,NOVI,MI,48377,6,25,2026-07-10,6,Unknown
Bi-County Physicians,Primary Care,T3,Coty,Other/Metro,St. Clair Shores,Michigan,48080,6,30,2026-06-11,35,Unknown
Corewell Health Taylor Hospital Family Medicine,Primary Care,T3,Coty,Other/Metro,Southgate,Michigan,48195,6,48,2026-07-02,14,Unknown
Corewell Internal Medicine Midway,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,6,30,2026-07-15,1,Unknown
Great Lakes Health and Wellness,Primary Care,T3,Coty,Other/Metro,Taylor,Michigan,48180,6,12,2026-07-14,2,Unknown
Karle Medical Group,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,6,66,2026-07-15,1,Unknown
Macomb Medical Clinic,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,MI,48310,6,29,2026-07-02,14,Unknown
Meadowbrook Internists,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,6,12,2026-06-23,23,Unknown
Precise Medical,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,6,6,2026-06-23,23,Unknown
PRISM Extended Care and Urgent Care,Urgent Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,6,8,2026-06-23,23,Unknown
Prism Medical Group - Family Medicine Ste 160,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,6,30,2026-06-23,23,Unknown
Somerset Family Medicine - Troy,Primary Care,T3,Coty,Troy,Troy,Michigan,48084,6,0,2026-07-01,15,Unknown
Vital Medicine,Primary Care,T3,Coty,Livonia,LIVONIA,MI,48152,6,12,2026-06-19,27,Unknown
ASCENSION MEDICAL GROUP AUBURN HILLS PRIMARY CARE,Primary Care,T3,Sean,Troy,AUBURN HILLS,Michigan,48326,6,11,2026-03-23,115,Unknown
Get Well Urgent Care - Warren,Urgent Care,T3,Sean,Sterling Heights,Warren,Michigan,48089,6,15,2026-04-24,83,Unknown
Pioneer Medical Associates - Clinton Township,Primary Care,T3,Sean,Sterling Heights,Clinton Township,Michigan,48038,6,14,2026-05-19,58,Unknown
Troy Family Practice,Primary Care,T3,Sean,Troy,Troy,Michigan,48085,6,21,2026-06-05,41,Unknown
Family First Health Care - Yale,Primary Care,T3,Kristen,Other/Metro,Yale,Michigan,48097,5,19,2026-06-09,37,Unknown
Yale Community Heath Center - VA Clinic,Primary Care,T3,Kristen,Other/Metro,Yale,Michigan,48097,5,25,2026-06-09,37,Unknown
A1 Family Medicine,Primary Care,T3,Jasmine,Other/Metro,Canton,Michigan,48187,5,5,2026-07-02,14,Unknown
ACADEMIC INTERNAL MEDICINE SPECIALISTS,Primary Care,T3,Jasmine,Southfield,SOUTHFIELD,Michigan,48075,5,45,2026-06-29,17,Unknown
Botsford General Hospital,Primary Care,T3,Jasmine,Livonia,Livonia,MI,48152-2041,5,5,2026-06-26,20,Unknown
Corewell Health Family Care of Novi,Primary Care,T3,Jasmine,Livonia,NOVI,MI,48377,5,20,2026-07-10,6,Unknown
Corewell Urgent Care - Novi,Urgent Care,T3,Jasmine,Livonia,Novi,Michigan,48375,5,10,2026-06-23,23,Unknown
Doctors urgent care,Urgent Care,T3,Jasmine,Livonia,Livonia,Michigan,48154,5,10,2026-06-09,37,Unknown
EXPRESS MED URGENT CARE,Urgent Care,T3,Jasmine,Southfield,SOUTHFIELD,Michigan,,5,3,2026-06-29,17,Unknown
Gem Health and Wellness,Primary Care,T3,Jasmine,Livonia,NOVI,Michigan,48375,5,10,2026-07-15,1,Unknown
icare urgent care,Urgent Care,T3,Jasmine,Other/Metro,DEARBORN HEIGHTS,MI,48125,5,17,2026-06-11,35,Unknown
IHA urgent care Livonia,Urgent Care,T3,Jasmine,Livonia,Livonia,Michigan,48152,5,59,2026-06-19,27,Unknown
"Jowher Khaleel MD, PC",Primary Care,T3,Jasmine,Livonia,Livonia,MI,48152,5,15,2026-06-24,22,Unknown
Livonia Family Medical Center,Primary Care,T3,Jasmine,Livonia,Livonia,Michigan,48150,5,15,2026-06-26,20,Unknown
M.N. Petrous MD,Primary Care,T3,Jasmine,Livonia,LIVONIA,MI,48152,5,5,2026-07-08,8,Unknown
Mansour Mercy Medical Center,Primary Care,T3,Jasmine,Other/Metro,Eastpointe,Michigan,48021,5,14,2026-05-01,76,Unknown
MDVIP Ann Arbor,Primary Care,T3,Jasmine,Other/Metro,Ann Arbor,Michigan,48108,5,5,2026-05-22,55,Unknown
MDVIP-Novi,Primary Care,T3,Jasmine,Livonia,Novi,Michigan,48374,5,10,2026-06-23,23,Unknown
Medicare urgent care,Urgent Care,T3,Jasmine,Other/Metro,Eastpointe,Michigan,48021,5,15,2026-06-18,28,Unknown
MICHIGAN INSTITUTE OF MEDICINE,Primary Care,T3,Jasmine,Livonia,LIVONIA,MI,48152,5,5,2026-07-09,7,Up to date
Northville-Novi Family Medicine,Primary Care,T3,Jasmine,Livonia,Novi,Michigan,48375,5,13,2026-06-23,23,Unknown
Oak Street Health,Primary Care,T3,Jasmine,Other/Metro,Detroit,Michigan,48223,5,5,2026-06-25,21,Unknown
Office of Robert Vartabedian MD,Primary Care,T3,Jasmine,Other/Metro,Plymouth,Michigan,48170,5,10,2026-06-22,24,Up to date
Park Family Practice - Novi,Primary Care,T3,Jasmine,Livonia,NOVI,MI,48374,5,40,2026-06-23,23,Unknown
Park Internal Medicine,Primary Care,T3,Jasmine,Livonia,Novi,Michigan,48374,5,30,2026-06-23,23,Unknown
Premier Medicine Medical Center - Livonia,Urgent Care,T3,Jasmine,Livonia,Livonia,Michigan,48152,5,55,2026-06-26,20,Past due
PROVIDENCE PARK LIVONIA FAMILY MEDICINE,Primary Care,T3,Jasmine,Livonia,LIVONIA,MI,48154,5,30,2026-06-19,27,Unknown
QuickDoc Urgent Care,Urgent Care,T3,Jasmine,Other/Metro,Eastpointe,Michigan,48021,5,8,2026-05-12,65,Unknown
Rivi Medical Associates,Primary Care,T3,Jasmine,Livonia,Novi,Michigan,48374,5,5,2026-06-23,23,Unknown
Trinity Health IHA Medical Group Primary Care - Canton,Primary Care,T3,Jasmine,Other/Metro,CANTON,Michigan,48188,5,60,2026-07-15,1,Unknown
Trinity Health IHA Primary Care - EMU,Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,5,20,2026-07-13,3,Unknown
