PL,Week,Week of,Day,Stops,Tier 1,Tier 2,Tier 3,Prospects,Spine Patients,Primary Area,Home Route Days,Finish-early Bonus,Google Maps Route
Coty,W4,2026-08-24,C-W4D1,10,1,3,0,6,1,Rochester Hills (10),"R18, R25",Chronic Pain Institute · Macomb Physicians Group,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=1701%20E%20South%20Blvd%20ste%20104%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307&waypoints=75%20Barclay%20Cir%2C%20%23230%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C633%20E%20South%20Blvd%20%231200%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1055%20E%20South%20Blvd%20ste%20220%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1555%20East%20South%20Boulevard%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1701%20E%20South%20Blvd%20ste%20240%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1701%20South%20Boulevard%20East%2C%20Suite%20290%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1701%20E%20South%20Blvd%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1701%20E%20South%20Blvd%20ste%20160%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C1701%20E%20South%20Blvd%20suite%20b75%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307
Coty,W4,2026-08-24,C-W4D2,10,1,0,0,9,1,Rochester Hills (6) • Rochester (4),R20,Chronic Pain Institute · Macomb Physicians Group,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=455%20S%20Livernois%20Rd%20Suite%20C-24%2C%20Rochester%20Hills%2C%20MI%2048307%2C%20United%20States%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307&waypoints=1460%20WALTON%20BLVD%20STE%20200%2C%20ROCHESTER%20HILLS%2C%20MI%2C%2048309%7C1202%20Walton%20Blvd%2C%20ste%20216%2C%20Rochester%2C%20Michigan%2C%2048307%7C1202%20Walton%20Blvd.%20ste%20212%2C%20Rochester%2C%20Michigan%2C%2048307%7C1135%20W%20University%20Dr%20suite%20425%2C%20Rochester%2C%20Michigan%2C%2048307%7C1135%20West%20University%2C%20ste%20450%2C%20Rochester%2C%20MI%2C%2048307%7C1135%20W%20University%20Dr%20ste%20240%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C441%20S%20Livernois%20Rd%20suite%20280%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C441%20S%20Livernois%20Rd%20suite%20280%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C441%20S%20Livernois%20Rd%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307
Coty,W4,2026-08-24,C-W4D3,10,2,1,0,7,2,City Of The Village Of Clarkston (5) • Clarkston (3) • Village Of Clarkston (1),R15,North Valley Internal Medicine · Epic Healthcare - Southfield,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=4800%20Highland%20Rd%2C%20Waterford%2C%20MI%2C%2048328-1176&waypoints=7650%20Dixie%20Hwy%2C%20City%20of%20the%20Village%20of%20Clarkston%2C%20Michigan%2C%2048346%7C7250%20Dixie%20Hwy%20suite%20100%2C%20City%20of%20the%20Village%20of%20Clarkston%2C%20Michigan%2C%2048346%7C5625%20Water%20Tower%20Place%20ste%20220%2C%20City%20of%20the%20Village%20of%20Clarkston%2C%20Michigan%2C%2048346%7C5625%20Water%20Tower%20Place%20suite%20210%2C%20City%20of%20the%20Village%20of%20Clarkston%2C%20Michigan%2C%2048346%7C5625%20Water%20Tower%20Place%2C%20Village%20of%20Clarkston%2C%20Michigan%2C%2048346%7C6770%20Dixie%20Hwy%20Ste%20303%2C%20Clarkston%2C%20MI%2C%2048346%7C7188%20N%20Main%20St%2C%20Clarkston%2C%20Michigan%2C%2048346%7C7192%20N%20Main%20St%2C%20Clarkston%2C%20Michigan%2C%2048346%7C7210%20N%20Main%20St%20suite%20205%2C%20City%20of%20the%20Village%20of%20Clarkston%2C%20Michigan
Coty,W4,2026-08-24,C-W4D4,10,2,5,0,3,3,Roseville (3) • Warren (2) • Saint Clair Shores (2),"R01, R05, R12",Lakeside Internal Medicine · Michigan Institute for Neurological Disorders (MIND) - Roseville,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=36367%20Harper%20Ave%2C%20Clinton%20Township%2C%20MI%2C%2048035&waypoints=25625%20Schoenherr%20Rd%2C%20Warren%2C%20MI%2C%2048089%7C27450%20Schoenherr%2C%20ste%20400%2C%20Warren%2C%20Michigan%2C%2048088%7C26390%20Gratiot%20Ave%2C%20Roseville%2C%20Michigan%2C%2048066%7C18325%20E.%2010%20Mile%20Rd%20Suite%20300%2C%20Roseville%2C%20MI%2C%2048066%7C18425%20East%2010%20Mile%20Road%2C%20ste%20130%2C%20Roseville%2C%20Michigan%2C%2048066%7C25631%20LITTLE%20MACK%20AVE%20STE%20103%2C%20SAINT%20CLAIR%20SHORES%2C%20Michigan%7C21603%20E%2011%20MILE%20RD%2C%20SAINT%20CLAIR%20SHORES%2C%20Michigan%7C21610%209%20Mile%20Rd%2C%20St%20Clair%20Shores%2C%20MI%2C%2048080%7C34025%20Harper%2C%20Clinton%20Township%2C%20MI%2C%2048035
Coty,W4,2026-08-24,C-W4D5,10,2,2,1,5,10,Shelby Township (7) • Clinton Township (3),"R02, R03, R24",Chronic Pain Institute · Cornerstone Garfield Family Practice - Ascension,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=36385%20Harper%20Ave%20Clinton%20Twp%2C%20Clinton%20Township%2C%20Michigan%2C%2048035&waypoints=49221%20Van%20Dyke%20Ave%2C%20Shelby%20Township%2C%20MI%2C%2048317%7C49310%20Van%20Dyke%20Ave%2C%20Shelby%20Township%2C%20Michigan%2C%2048317%7C50505%20Schoenherr%20Rd%20ste%20120%2C%20Shelby%20Township%2C%20Michigan%2C%2048315%7C50505%20Schoenherr%20Rd%20ste%20300%2C%20Shelby%20Township%2C%20Michigan%2C%2048315%7C50505%20Schoenherr%20Road%2C%20ste%20250%2C%20Shelby%20Township%2C%20Michigan%2C%2048315%7C13350%2024%20Mile%20Rd%20ste%20200%2C%20Shelby%20Township%2C%20Michigan%2C%2048315%7C13350%2024%20Mile%20Rd%20%23700b%2C%20Shelby%20Township%2C%20Michigan%2C%2048315%7C42621%20Garfield%20Rd%2C%20ste%20108%2C%20Clinton%20Township%2C%20MI%2C%20480385031%7C39651%20Garfield%20Road%2C%20Clinton%20Township%2C%20Michigan%2C%2048038
Coty,W5,2026-08-31,C-W5D1,10,7,1,1,1,10,Roseville (3) • Sterling Heights (2) • Clinton Township (2),"R05, R06, R07",Corondan Medical · Midwest Center for Dermatology - Warren,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=25100%20Kelly%20Rd%2C%20Roseville%2C%20Michigan%2C%2048066&waypoints=33703%20Van%20Dyke%20Ave%2C%20Sterling%20Heihhts%2C%20MI%2C%2048312%7C8244%20Metro%20Parkway%2C%20Sterling%20Heights%2C%20Michigan%2C%2048312%7C13801%2015%20Mile%20Rd%2C%20Sterling%20Heights%2C%20Michigan%2C%2048312%7C15717%2015%20Mile%20Rd%2C%20Clinton%20Township%2C%20MI%2C%2048035%7C15501%20Metro%20Parkway%2C%20Clinton%20Township%2C%20Michigan%2C%2048036%7C11300%20E%2013%20Mile%20Rd%2C%20Suite%201%2C%20Warren%2C%20MI%2C%2048093%7C26440%20Hoover%20Rd%20ste%20c%2C%20Warren%2C%20Michigan%2C%2048089%7C18285%20East%2010%20Mile%20Road%2C%20Roseville%2C%20Michigan%2C%2048066%7C18303%20E%2010%20Mile%20Rd%20%23500%2C%20Roseville%2C%20Michigan%2C%2048066
Coty,W5,2026-08-31,C-W5D2,10,3,1,0,6,5,Rochester Hills (3) • Troy (2) • Southfield (1),"R04, R23",Premier Private Physicians · Macomb Medical Clinic,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=355%20Barclay%2C%20Rochester%2C%20Michigan%2C%2048307&waypoints=18591%20W%2010%20Mile%20Rd%2C%20SOUTHFIELD%2C%20Michigan%2C%2048075%7C1964%2011%20Mile%20Rd%2C%20Berkley%2C%20MI%2C%2048072%7C1200%20W%2012%20Mile%20Rd%2C%20Madison%20Heights%2C%20MI%2C%2048071%7C314%20N%20Main%20St%2C%20Clawson%2C%20Michigan%2C%2048017%7C1380%20Coolidge%20Hwy%20suite%20200%2C%20Troy%2C%20Michigan%2C%2048084%7C1380%20Coolidge%20Highway%2C%20ste%20100%2C%20Troy%2C%20Michigan%2C%2048084%7C2710%20S%20Rochester%20Rd%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C2710%20S%20Rochester%20Rd%2C%20Ste%204%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307%7C2708%20S%20Rochester%20Rd%2C%20Rochester%20Hills%2C%20Michigan%2C%2048307
Coty,W5,2026-08-31,C-W5D3,10,2,3,1,4,3,Macomb (4) • Rochester (2) • Utica (1),"R02, R12, R24, R25",Urgent Care Family · Office of Josephine A. Iskander MD,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=21000%20Twelve%20Mile%20Rd%20Suite%20105%2C%20St%20Clair%20Shores%2C%20Michigan%2C%2048081&waypoints=427%20W%20University%2C%20Rochester%2C%20MI%2C%2048307%7C75%20Barclay%20Circle%2C%20ste%20120%2C%20Rochester%2C%20MI%2C%2048307%7C44720%20Van%20Dyke%20Ave%2C%20Utica%2C%20MI%2C%2048317%7C43145%20Schoenherr%20Rd%2C%20Sterling%20Heights%2C%20Michigan%2C%2048313%7C43900%20Garfield%20Rd%20ste%20222%2C%20Clinton%20Township%2C%20Michigan%2C%2048038%7C46591%20Romeo%20Plank%20Road%2C%20Macomb%2C%20Michigan%2C%2048044%7C48801%20Romeo%20Plank%20Rd%20ste%20103%2C%20Macomb%2C%20Michigan%2C%2048044%7C51218%20Romeo%20Plank%20Rd%2C%20Macomb%2C%20MI%2C%2048042%7C45441%20Heydenreich%20Rd%2C%20Macomb%2C%20MI%2C%2048044
Coty,W5,2026-08-31,C-W5D4,4,1,1,0,2,2,Ypsilanti (1) • New Boston (1) • Southgate (1),R10,EPIC Southfield - Telegraph Rd office · Epic Primary Care - Ferndale,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=1675%20Kingsway%20Court%2C%20Trenton%2C%20Michigan%2C%2048183&waypoints=135%20S%20PROSPECT%20ST%2C%20YPSILANTI%2C%20Michigan%2C%20MI%2048198%7C21057%20Waltz%20Rd%2C%20NEW%20BOSTON%2C%20Michigan%2C%2048164%7C11275%20Allen%20Road%2C%20Southgate%2C%20Michigan%2C%2048195
Coty,W5,2026-08-31,C-W5D5,7,0,1,0,6,0,Clarkston (3) • City Of The Village Of Clarkston (2) • Flint (1),R26,Oakland Internal Medicine Associates - Henry Ford · EPIC Southfield - Telegraph Rd office,https://www.google.com/maps/dir/?api=1&travelmode=driving&dir_action=navigate&destination=5701%20Bow%20Pointe%20Drive%2C%20Clarkston%2C%20Michigan%2C%2048346&waypoints=5205%20Norko%20Drive%2C%20Flint%2C%20Michigan%2C%2048507%7C861%20Health%20Park%20Boulevard%2C%20Grand%20Blanc%20Township%2C%20Michigan%2C%2048439%7C6815%20Dixie%20Hwy%2C%20City%20of%20the%20Village%20of%20Clarkston%2C%20Michigan%2C%2048346%7C6815%20DIXIE%20HWY%20STE%201%2C%20CLARKSTON%2C%20MI%2C%2048346%7C5701%20Bow%20Pointe%20Dr%20ste%20100%2C%20Clarkston%2C%20Michigan%2C%2048346%7C5701%20Bow%20Pointe%20Dr%20suite%20305%2C%20City%20of%20the%20Village%20of%20Clarkston%2C%20Michigan%2C%2048346
