source,proposed_target,source_http,source_redirects_to_now,category,action_target,confidence,note
/conditions-we-treat/hand-upper-extremity-conditions/trigger-finger/,/conditions/trigger-finger/,301,/treatment/trigger-finger-release/ [200],superseded (site chose a different live target),,High,
/specialties/pain-management/emg/,/treatment/emg/,301,/treatment/emg/ [200],done,/treatment/emg/,High,
/specialties/hand-upper-extremity/tendon-repair/,/treatment/tendon-repair/,301,/treatment/tendon-repair/ [200],done,/treatment/tendon-repair/,High,
/conditions-we-treat/spine-neck-back-conditions/arthritic-back-pain/,/conditions/arthritic-back-pain/,301,/conditions/arthritic-back-pain/ [200],done,/conditions/arthritic-back-pain/,High,
/conditions-we-treat/spine-neck-back-conditions/lumbar-stenosis/,/conditions/lumbar-stenosis/,301,/conditions/lumbar-stenosis/ [200],done,/conditions/lumbar-stenosis/,High,
/specialties/orthopedic-services/elbow-arthroscopy/,/treatment/elbow-arthroscopy/,301,/treatment/elbow-arthroscopy/ [200],done,/treatment/elbow-arthroscopy/,High,
/specialties/hand-upper-extremity/dupuytren-contracture-release/,/treatment/dupuytren-contracture-release/,301,/treatment/dupuytren-contracture-release/ [200],done,/treatment/dupuytren-contracture-release/,High,
/specialties/podiatry/toe-arthroplasty/,/treatment/toe-arthroplasty/,301,/treatment/toe-arthroplasty/ [200],done,/treatment/toe-arthroplasty/,High,
/conditions-we-treat/shoulder/frozen-shoulder/,/conditions/frozen-shoulder/,301,/conditions/frozen-shoulder/ [200],done,/conditions/frozen-shoulder/,High,
/specialties/hand-upper-extremity/cubital-tunnel-release/,/treatment/cubital-tunnel-release/,301,/treatment/cubital-tunnel-release/ [200],done,/treatment/cubital-tunnel-release/,High,
/conditions-we-treat/spine-neck-back-conditions/herniated-disc/,/conditions/herniated-disc/,301,/conditions/herniated-disc/ [200],done,/conditions/herniated-disc/,High,
/conditions-we-treat/hip-conditions/hip-osteoarthritis/,/conditions/hip-osteoarthritis/,301,/conditions/hip-osteoarthritis/ [200],done,/conditions/hip-osteoarthritis/,High,
/conditions-we-treat/foot-ankle-conditions/plantar-fasciitis/,/conditions/plantar-fasciitis/,301,/conditions/plantar-fasciitis/ [200],done,/conditions/plantar-fasciitis/,High,
/specialties/podiatry/ankle-arthroscopy/,/treatment/ankle-arthroscopy/,301,/treatment/ankle-arthroscopy/ [200],done,/treatment/ankle-arthroscopy/,High,
/conditions-we-treat/shoulder/shoulder-dislocation/,/conditions/shoulder-dislocation/,301,/conditions/shoulder-dislocation/ [200],done,/conditions/shoulder-dislocation/,High,
/conditions-we-treat/knee-conditions/patellar-tendinitis/,/conditions/patellar-tendinitis/,301,/conditions/patellar-tendinitis/ [200],done,/conditions/patellar-tendinitis/,High,
/conditions-we-treat/hand-arthritis/,/conditions/hand-arthritis/,301,/conditions/hand-arthritis/ [200],done,/conditions/hand-arthritis/,High,
/conditions-we-treat/knee-conditions/knee-bursitis/,/conditions/knee-bursitis/,301,/conditions/knee-bursitis/ [200],done,/conditions/knee-bursitis/,High,
/conditions-we-treat/sciatica/,/conditions/sciatica/,301,/conditions/sciatica/ [200],done,/conditions/sciatica/,High,
/conditions-we-treat/spine-neck-back-conditions/si-joint-pain/,/conditions/si-joint-pain/,301,/conditions/si-joint-pain/ [200],done,/conditions/si-joint-pain/,High,
/conditions-we-treat/spine/herniated-disc/,/conditions/herniated-disc/,404,,to do — dead URL,/conditions/herniated-disc/,High,
/conditions-we-treat/wrist-injuries-fractures/,/conditions-we-treat/hand-upper-extremity-conditions/wrist-injuries-fractures/,404,,to do — dead URL,/conditions/wrist-fracture/,High,resolved through site redirect
/providers/orthopedics/,/providers/specialty/orthopedics/,301,/providers/specialty/orthopedics/ [200],done,/providers/specialty/orthopedics/,High,
/providers/orthopedics/david-h-mendelson-md/,/providers/david-mendelson-md/,404,,to do — dead URL,/providers/david-mendelson-md/,High,
/providers/orthopedics/stephen-d-mendelson-md/,/providers/stephen-mendelson-md/,404,,to do — dead URL,/providers/stephen-mendelson-md/,High,
/providers/pain-management/anthony-j-oddo-do/,/providers/anthony-j-oddo-do/,404,,to do — dead URL,/providers/anthony-oddo-do/,High,resolved through site redirect
/providers/physician-assistant/brittany-miller-pa-c/,/providers/brittany-miller-pa-c/,301,/providers/brittany-miller-pa-c/ [200],done,/providers/brittany-miller-pa-c/,High,
